"","mu","sigma","xi"
"FernandinaBeach",1560.90251303691,85.1451231066341,0.177845595805981
"KeyWestFL",557.995394986135,42.6417330135471,0.256503913484621
"PortlandME",2212.78162101449,101.576962137648,-0.0901551050378835
"NewportRI",1216.73187280156,114.230319043918,0.0871045855646877
"DuckPierNC",1216.62228305731,107.859568229309,0.0251875959417824
"CharlestonSC",1394.46426645615,94.6317316293138,0.218201296097608
"AtlanticCityNJ",1390.47213365892,116.109639166593,-0.003443581180398
"MontaukNY",991.206732417482,137.233508558689,0.246218743945445
"EastportME",3913.52389028852,83.4767315747216,0.0338722529264431
"BostonMA",2279.96898236605,125.617392585974,0.069349541060154
"WoodsHoleMA",946.539808004211,144.96392943742,0.0268993205932456
"NantucketMA",1073.53026180782,130.190271217448,0.0961235534981417
"NewLondonCT",1042.70085012746,154.221275936828,0.212420312991915
"NewYorkNY",1430.02330506136,140.296201113831,0.276627227113924
"CapeMayNJ",1501.36256404657,114.85396062899,-0.0755776760157811
"LewesDE",1414.85476373532,115.964070787402,0.207501392550996
"ChesapeakeBBT",1126.18238405749,133.815815676153,0.206921133328705
"WilmingtonNC",1032.8143044588,117.320845370713,0.0556804734703161
"FortPulaskiGA",1696.11527832952,82.8586112239577,0.168716933072456
"MayportFL",1190.41122059806,58.6946048744693,0.112394853454676
"VirginiaKeyFL",697.750232615386,88.5338990365363,0.115502001953697
"NaplesFL",760.861685361398,99.9027973068559,0.362556796587992
"StPetersburgFL",784.33479885207,130.608273724064,0.161985200731924
"ApalachicolaFL",659.347672900002,98.6129831925824,1.0627069899945
"PanamaCityBeach",703.886908527973,165.702588723433,0.757388721335277
"PensacolaFL",591.079808062449,110.168358111148,0.407023967565299
"DauphinIslandAL",612.046489926092,105.266279694434,0.580075888942879
"GrandIsleLA",557.576101100321,117.064596157693,0.455191554717644
"SabinePassNTX",670.021492285366,140.397718699964,0.318063042410508
"GalvestonPPier",885.697688935898,160.586751942294,0.389126705296657
"RockportTX",443.908808904733,82.5787251897045,0.345507651046629
"CorpusCristiTX",696.589201716269,140.333433034473,0.214591134818595
"PortIsabelTX",538.303906852289,86.4494514576718,0.326983007264237
"ClearwaterBchFL",897.854347274287,99.6169097727559,0.0951111963568221
"PortCanaveralFL",1127.22310603257,70.9711466773538,0.32743317674034
"GalvestonPier21",679.470342655854,139.452039929172,0.403863392466079
